Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
vehicleBobcat,vehicles,vehicle,new,Bobcat,,,,,
vehicleBobcatPlaceable,vehicles,item,EnChanged,Bobcat,,,,,
vehicleBobcatPlaceableDesc,vehicles,item,EnChanged,Bobcat,,,,,
vehicleBobcatPlaceableSchematic,vehicles,item,EnChanged,Bobcat Schematic,,,,,
vehicleBucket3,vehicles,vehicle,new, Bucket (Small),,,,,
modVehicleBucket3,vehicles,vehicle,new, Bucket (Small),,,,,
modVehicleBucket3Desc,vehicles,vehicle,new, Bucket (Small),,,,,
modVehicleBucket3Schematic,vehicles,item,EnChanged,Bucket (Small) Schematic,,,,,
modVehicleBucket5,vehicles,vehicle,new, Bucket (Large),,,,,
modVehicleBucket5Desc,vehicles,vehicle,new, Bucket (Large),,,,,
modVehicleBucket5Schematic,vehicles,item,EnChanged,Bucket (Large) Schematic,,,,,
modVehicleDrill,vehicles,vehicle,new,Bobcat Drill,,,,,
modVehicleDrillDesc,vehicles,vehicle,new,Bobcat Drill,,,,,
modVehicleDrillSchematic,vehicles,item,EnChanged,Bobcat Drill Schematic,,,,,
modTractionControl,vehicles,vehicle,new,Bobcat Traction Control,,,,,
modTractionControlDesc,vehicles,vehicle,new,Bobcat Traction Control,,,,,
modTractionControlSchematic,vehicles,item,EnChanged,Bobcat Traction Control Schematic,,,,,
